"Blocking Key Value","Frequency"
"SW","3502"
"CL","3348"
"PL","3333"
"ID","3030"
"IC","3010"
"TU","2898"
"PI","2772"
"IM","2728"
"AS","2646"
"PU","2645"
"DO","60024"
"EL","2580"
"AL","57514"
"VI","2380"
"IN","57008"
"SH","55616"
"HO","55335"
"BE","55176"
"MA","54648"
"GO","50922"
"BA","48511"
"RE","47616"
"TH","980669"
"LO","123750"
"WH","117120"
"LI","77914"
"ST","74646"
"CO","66450"
"HE","65081"
"YO","64752"
"NO","62282"
"SO","60320"
"CA","44774"
"WA","34489"
"SA","32450"
"ON","32431"
"SU","31857"
"DE","31840"
"LE","31314"
"HA","29205"
"WE","29100"
"BL","28756"
"TO","27048"
"AN","26892"
"CH","26606"
"LA","26166"
"SE","25788"
"MI","25235"
"BR","24099"
"MO","22940"
"NE","22618"
"FA","20750"
"DA","19926"
"BO","19900"
"WI","19116"
"DI","18800"
"KI","17760"
"FI","17238"
"PA","16940"
"TR","16264"
"FO","15972"
"MY","15275"
"SI","15252"
"UN","15075"
"RO","14700"
"TA","14136"
"ME","13454"
"DR","13376"
"CR","11640"
"EV","11118"
"TE","10738"
"WO","10584"
"PR","10140"
"FR","9486"
"BU","9352"
"IT","9168"
"GE","9028"
"I'","8732"
"GI","8576"
"RA","8320"
"RI","8294"
"TI","8232"
"JU","8003"
"PO","7426"
"SP","7360"
"PE","6776"
"IF","6656"
"RU","6350"
"BI","6255"
"IW","5940"
"HI","5936"
"FE","4592"
"AM","4520"
"SL","4410"
"OU","4128"
"GR","3999"
"NA","3822"
"EN","3795"
"AR","3744"
"FL","3638"
