"Blocking Key Value","Frequency"
"SM","2745"
"TW","2730"
"CU","2695"
"GU","2585"
"AD","2478"
"GA","2444"
"LU","2418"
"CI","2414"
"MU","2332"
"OH","2100"
"AL","103448"
"YO","102666"
"DO","99552"
"HO","94248"
"BE","94017"
"IN","91620"
"GO","90774"
"RE","88320"
"BA","85505"
"WA","83759"
"EA,EX","2016"
"TH","1946212"
"AF","1960"
"WH","230580"
"AP","1944"
"LO","199980"
"SK","1891"
"CO","156822"
"AB,JO","1860"
"ST","143028"
"VA","1696"
"NO","140030"
"IA","1525"
"SO","116480"
"AC","1512"
"LI","109940"
"YE","1452"
"HE","108181"
"GL","1450"
"CA","107531"
"MA","81972"
"SH","78848"
"DE","78804"
"LA","61152"
"BL","60788"
"MO","59210"
"LE","57716"
"SA","54575"
"HA","54280"
"SU","53669"
"JA","1400"
"OL","1350"
"AI","1320"
"EM","1316"
"OV","1272"
"UP","1269"
"DU","1258"
"VE","1218"
"MR","1056"
"10","1008"
"SE","53111"
"MI","49735"
"WE","46200"
"CH","43925"
"ON","43911"
"BR","43489"
"NE","41291"
"TO","40296"
"FA","40000"
"AN","37584"
"OP","1000"
"AU","969"
"OR","864"
"AW","779"
"KN","775"
"CE,WR","760"
"IG","759"
"GH","740"
"KA","703"
"IR","645"
"DA","36936"
"SI","36162"
"DI","33135"
"PA","33000"
"BO","32835"
"ME","30814"
"TR","30388"
"WI","30208"
"FO","30008"
"FI","29393"
"AG","627"
"OC","598"
"VO","595"
"PH","585"
"I’","575"
"NU","560"
"IK","540"
"ES","527"
"OF","504"
"SN","496"
"MY","28905"
"DR","28424"
"RO","28350"
"TE","26026"
"TA","24366"
"PR","22035"
"EV","22018"
"UN","21708"
"FR","21576"
"CR","21534"
"EY","481"
"US","418"
"19,20","399"
"IH","396"
"OB","336"
"HY","325"
"AV","230"
"SY","221"
"PS","204"
"EC","203"
"IT","20628"
"PO","20224"
"KI","20165"
"RA","18400"
"RI","18161"
"WO","17472"
"BU","16867"
"EL","15480"
"I'","15458"
"TI","15288"
"ER","192"
"YA","184"
"IB","170"
"ZE","144"
"RH","135"
"OD","121"
"AH","112"
"CY","108"
"BY,ED","104"
"OT","96"
"JU","14345"
"PE","13706"
"BI","13622"
"IF","13568"
"GE","12136"
"SP","11840"
"GR","11352"
"SL","11172"
"GI","10240"
"RU","9652"
"KO","91"
"21","90"
"DY,24,ZO","80"
"ET","76"
"EP","75"
"OM,UG","63"
"12","56"
"AY,S.","55"
"EI,TY","50"
"B.,JI,OO","48"
"HI","9632"
"OU","9030"
"PI","8946"
"FE","8848"
"IW","8844"
"AM","8814"
"ID","8282"
"FL","7918"
"PU","7245"
"SW","6798"
"L.","45"
"PY","44"
"EU,GY,OK","42"
"30","40"
"(I","38"
"IJ,LY,50","36"
"C'","35"
"AQ,KU,UL","32"
"16","30"
"C.","28"
"EN","6440"
"CL","6324"
"AS","5544"
"IM","5456"
"FU","5340"
"QU","5180"
"PL","5151"
"AR","4914"
"TU","4830"
"NA","4823"
"OS,R.","27"
"M.,OX,14","25"
"11,13,15","24"
"F*,VR","22"
"L'","21"
"AE,EG,OA,25,40,XO","20"
"ZI","18"
"DJ,17","16"
"IP,KR,22,90","15"
"SQ,U.","14"
"AK,D.,F.,IV,KY,N.,OG,UM,YU","12"
"LL","11"
"MS,O.,18","10"
"G.,DÉ,(T,MT,..,2S,TS","9"
"A-,E.,H.,II,NY,OW,23,T.,W.","8"
"I.","7"
"AA,BB,EE,P.,1,,2N,33,TB,UR,VU,WU,7S,ZA","6"
"BT,TL,YI","5"
"EF,F-,KL,2B,3A,V.,4T,WT,WY,YS,99","4"
"A.,DH,DN,EB,OY,T-,4L,80,XX","3"
"I,GN,GW,CÚ,(B,(F,(O,KH,PD,PT,1.,S,,RY,36,38,TC,3D,TK,UB,UH,4S,5:,VL,RÊ,66,6A,74,XE,7D,Y.,7Y,92,ZU","2"
"IC","4730"
"AO,8,O,BS,X,D',CP,#B,DW,ÉL,EZ,イン,HM,(E,(K,IZ,MC,MZ,NB,バイ,PC,PM,S/,26,27,28,RX,2A,48,UD,UF,UK,4M,52,4R,56,4W,4Y,SÉ,8T,[O,<3,¡C","1"
"HU","4484"
"VI","4080"
"NI","4002"
"SC","3916"
"AT","3784"
"IS","3552"
"KE","3440"
"IL","3136"
"JE","2937"
