"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] SongNameComparatorRemoveBrackets record1Value","[0] SongNameComparatorRemoveBrackets record2Value","[0] SongNameComparatorRemoveBrackets record1PreprocessedValue","[0] SongNameComparatorRemoveBrackets record2PreprocessedValue","[0] SongNameComparatorRemoveBrackets similarity","[0] SongNameComparatorRemoveBrackets postproccesedSimilarity","[1] SongNameComparatorLevenshtein record1Value","[1] SongNameComparatorLevenshtein record2Value","[1] SongNameComparatorLevenshtein record1PreprocessedValue","[1] SongNameComparatorLevenshtein record2PreprocessedValue","[1] SongNameComparatorLevenshtein similarity","[1] SongNameComparatorLevenshtein postproccesedSimilarity","[2] SongArtistsComparatorToken record1Value","[2] SongArtistsComparatorToken record2Value","[2] SongArtistsComparatorToken record1PreprocessedValue","[2] SongArtistsComparatorToken record2PreprocessedValue","[2] SongArtistsComparatorToken similarity","[2] SongArtistsComparatorToken postproccesedSimilarity","[3] SongArtistsComparatorLevenshtein record1Value","[3] SongArtistsComparatorLevenshtein record2Value","[3] SongArtistsComparatorLevenshtein record1PreprocessedValue","[3] SongArtistsComparatorLevenshtein record2PreprocessedValue","[3] SongArtistsComparatorLevenshtein similarity","[3] SongArtistsComparatorLevenshtein postproccesedSimilarity","[4] SongAlbumComparatorMaxSim record1Value","[4] SongAlbumComparatorMaxSim record2Value","[4] SongAlbumComparatorMaxSim record1PreprocessedValue","[4] SongAlbumComparatorMaxSim record2PreprocessedValue","[4] SongAlbumComparatorMaxSim similarity","[4] SongAlbumComparatorMaxSim postproccesedSimilarity","[5] SongAlbumComparatorToken record1Value","[5] SongAlbumComparatorToken record2Value","[5] SongAlbumComparatorToken record1PreprocessedValue","[5] SongAlbumComparatorToken record2PreprocessedValue","[5] SongAlbumComparatorToken similarity","[5] SongAlbumComparatorToken postproccesedSimilarity"
"WekaMatchingRule","dbpedia_448","musicbrainz_29804","0.0028095848479932697",,"Live For","Little Soldier Boy","Live For","Little Soldier Boy","0.33333333333333337","0.33333333333333337","Live For","Little Soldier Boy","Live For","Little Soldier Boy","0.33333333333333337","0.33333333333333337","the weeknd","the yardbirds","the weeknd","the yardbirds","0.3333333333333333","0.3333333333333333","The Weeknd","The Yardbirds","The Weeknd","The Yardbirds","0.3846153846153846","0.3846153846153846","kiss land","little games","kiss land","little games","0.0","0.0","kiss land","little games","kiss land","little games","0.0","0.0"
"WekaMatchingRule","dbpedia_3168","musicbrainz_6396","0.0033766699847865133",,"Don't Swallow the Cap","Don’t Look Back","Don't Swallow the Cap","Don’t Look Back","0.4285714285714286","0.4285714285714286","Don't Swallow the Cap","Don’t Look Back","Don't Swallow the Cap","Don’t Look Back","0.4285714285714286","0.4285714285714286","the national","queensrÿche","the national","queensrÿche","0.0","0.0","The National","Queensrÿche","The National","Queensrÿche","0.16666666666666663","0.16666666666666663","trouble will find me","queensrÿche","trouble will find me","queensrÿche","0.0","0.0","trouble will find me","queensrÿche","trouble will find me","queensrÿche","0.0","0.0"
"WekaMatchingRule","dbpedia_4352","musicbrainz_20266","0.0012458574621582326",,"Alkohola litar","Allergic to Water","Alkohola litar","Allergic to Water","0.2941176470588235","0.2941176470588235","Alkohola litar","Allergic to Water","Alkohola litar","Allergic to Water","0.2941176470588235","0.2941176470588235","elitni odredi","ani difranco","elitni odredi","ani difranco","0.0","0.0","Elitni Odredi","Ani DiFranco","Elitni Odredi","Ani DiFranco","0.15384615384615385","0.15384615384615385",,,,,,,"","allergic to water","","allergic to water","0.0","0.0"
"WekaMatchingRule","dbpedia_6066","musicbrainz_31478","0.004386292611244325",,"We No Who U R","We Want to Be It","We No Who U R","We Want to Be It","0.4375","0.4375","We No Who U R","We Want to Be It","We No Who U R","We Want to Be It","0.4375","0.4375","nick cave and the bad seeds","the tragically hip","nick cave and the bad seeds","the tragically hip","0.125","0.125","Nick Cave and the Bad Seeds","The Tragically Hip","Nick Cave and the Bad Seeds","The Tragically Hip","0.11111111111111116","0.11111111111111116","push the sky away","now for plan a","push the sky away","now for plan a","0.0","0.0","push the sky away","now for plan a","push the sky away","now for plan a","0.0","0.0"
"WekaMatchingRule","dbpedia_8241","musicbrainz_360","0.0018558646685932247",,"The Mother We Share","The World Belongs to Me","The Mother We Share","The World Belongs to Me","0.34782608695652173","0.34782608695652173","The Mother We Share","The World Belongs to Me","The Mother We Share","The World Belongs to Me","0.34782608695652173","0.34782608695652173","chvrches","my darkest days","chvrches","my darkest days","0.0","0.0","Chvrches","My Darkest Days","Chvrches","My Darkest Days","0.1333333333333333","0.1333333333333333","the bones of what you believe","my darkest days","the bones of what you believe","my darkest days","0.0","0.0","the bones of what you believe","my darkest days","the bones of what you believe","my darkest days","0.0","0.0"
"WekaMatchingRule","dbpedia_954","musicbrainz_6915","8.219418008864284E-4",,"Weekends ","We Share the Same Sun","Weekends ","We Share the Same Sun","0.23809523809523814","0.23809523809523814","Weekends (Skrillex song)","We Share the Same Sun","Weekends (Skrillex song)","We Share the Same Sun","0.29166666666666663","0.29166666666666663","skrillex","stereophonics","skrillex","stereophonics","0.0","0.0","Skrillex","Stereophonics","Skrillex","Stereophonics","0.15384615384615385","0.15384615384615385","my name is skrillex","graffiti on the train","my name is skrillex","graffiti on the train","0.0","0.0","my name is skrillex","graffiti on the train","my name is skrillex","graffiti on the train","0.0","0.0"
"WekaMatchingRule","dbpedia_1342","musicbrainz_10503","7.933859303397422E-4",,"The Hellcat Spangled Shalalala","The Few, the Proud, the Broken","The Hellcat Spangled Shalalala","The Few, the Proud, the Broken","0.23333333333333328","0.23333333333333328","The Hellcat Spangled Shalalala","The Few, the Proud, the Broken","The Hellcat Spangled Shalalala","The Few, the Proud, the Broken","0.23333333333333328","0.23333333333333328","arctic monkeys","kreator","arctic monkeys","kreator","0.0","0.0","Arctic Monkeys","Kreator","Arctic Monkeys","Kreator","0.1428571428571429","0.1428571428571429","suck it and see","phantom antichrist","suck it and see","phantom antichrist","0.0","0.0","suck it and see","phantom antichrist","suck it and see","phantom antichrist","0.0","0.0"
"WekaMatchingRule","dbpedia_2247","musicbrainz_32564","0.001666684658250524",,"Gold ","Goin Down","Gold ","Goin Down","0.33333333333333337","0.33333333333333337","Gold (Neon Hitch song)","Goin Down","Gold (Neon Hitch song)","Goin Down","0.2272727272727273","0.2272727272727273","neon hitch","dinosaur jr.","neon hitch","dinosaur jr.","0.0","0.0","Neon Hitch","Dinosaur Jr.","Neon Hitch","Dinosaur Jr.","0.08333333333333337","0.08333333333333337",,,,,,,"","give a glimpse of what yer not","","give a glimpse of what yer not","0.0","0.0"
"WekaMatchingRule","dbpedia_5526","musicbrainz_15244","0.003091650124121141",,"The Rocky Road to Poland","The Odd Couple","The Rocky Road to Poland","The Odd Couple","0.41666666666666663","0.41666666666666663","The Rocky Road to Poland","The Odd Couple","The Rocky Road to Poland","The Odd Couple","0.41666666666666663","0.41666666666666663","damien dempsey","weezer","damien dempsey","weezer","0.0","0.0","Damien Dempsey","Weezer","Damien Dempsey","Weezer","0.2142857142857143","0.2142857142857143",,,,,,,"","death to false metal","","death to false metal","0.0","0.0"
"WekaMatchingRule","dbpedia_7846","musicbrainz_1510",,"0","High Five, Swan Dive, Nose Dive","Wildfire, Smoke & Doom","High Five, Swan Dive, Nose Dive","Wildfire, Smoke & Doom","0.3548387096774194","0.3548387096774194","High Five, Swan Dive, Nose Dive","Wildfire, Smoke & Doom","High Five, Swan Dive, Nose Dive","Wildfire, Smoke & Doom","0.3548387096774194","0.3548387096774194","pulled apart by horses","pulled apart by horses","pulled apart by horses","pulled apart by horses","1.0","1.0","Pulled Apart By Horses","Pulled Apart by Horses","Pulled Apart By Horses","Pulled Apart by Horses","1.0","1.0","pulled apart by horses","tough love","pulled apart by horses","tough love","0.0","0.0","pulled apart by horses","tough love","pulled apart by horses","tough love","0.0","0.0"
