"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] SongNameComparatorEqual record1Value","[0] SongNameComparatorEqual record2Value","[0] SongNameComparatorEqual record1PreprocessedValue","[0] SongNameComparatorEqual record2PreprocessedValue","[0] SongNameComparatorEqual similarity","[0] SongNameComparatorEqual postproccesedSimilarity","[1] SongArtistsComparatorToken record1Value","[1] SongArtistsComparatorToken record2Value","[1] SongArtistsComparatorToken record1PreprocessedValue","[1] SongArtistsComparatorToken record2PreprocessedValue","[1] SongArtistsComparatorToken similarity","[1] SongArtistsComparatorToken postproccesedSimilarity"
"LinearCombinationMatchingRule","spotify_19876","musicbrainz_25091","0.0",,"the palisades","the watchtower","the palisades","the watchtower","0.0","0.0","childish gambino,  christian rich","darkthrone","childish gambino,  christian rich","darkthrone","0.0","0.0"
"LinearCombinationMatchingRule","spotify_16130","musicbrainz_9662","0.0",,"do you believe in god?","doors unlocked and open","do you believe in god?","doors unlocked and open","0.0","0.0","$uicideboy$","death cab for cutie","$uicideboy$","death cab for cutie","0.0","0.0"
"LinearCombinationMatchingRule","spotify_9517","musicbrainz_23077","0.0",,"the other side","the making of “the death of you and me” video","the other side","the making of “the death of you and me” video","0.0","0.0","sza,  justin timberlake","noel gallagher’s high flying birds","sza,  justin timberlake","noel gallagher’s high flying birds","0.0","0.0"
"LinearCombinationMatchingRule","spotify_98","musicbrainz_3676","0.0",,"anything like me","angel of small death & the codeine scene (live at itunes festival, london / 2014)","anything like me","angel of small death & the codeine scene (live at itunes festival, london / 2014)","0.0","0.0","brad paisley","hozier","brad paisley","hozier","0.0","0.0"
"LinearCombinationMatchingRule","spotify_15793","musicbrainz_20885","0.0",,"seize the day","seneca","seize the day","seneca","0.0","0.0","ben fankhauser,  jeremy jordan,  newsies original broadway cast","patti smith","ben fankhauser,  jeremy jordan,  newsies original broadway cast","patti smith","0.0","0.0"
"LinearCombinationMatchingRule","spotify_5208","musicbrainz_20101","0.0",,"ser bichote","selectallcopy","ser bichote","selectallcopy","0.0","0.0","bad bunny","autolux","bad bunny","autolux","0.0","0.0"
"LinearCombinationMatchingRule","spotify_15200","musicbrainz_15806","0.0",,"pork soda","powerman (mono)","pork soda","powerman (mono)","0.0","0.0","glass animals","the kinks","glass animals","the kinks","0.0","0.0"
"LinearCombinationMatchingRule","spotify_5207","musicbrainz_32691","0.0",,"forgive you","forever bonnie","forgive you","forever bonnie","0.0","0.0","leon bridges","big head todd and the monsters","leon bridges","big head todd and the monsters","0.0","0.0"
"LinearCombinationMatchingRule","spotify_6327","musicbrainz_23029","0.0",,"dear rodeo","dethroned","dear rodeo","dethroned","0.0","0.0","cody johnson","destruction","cody johnson","destruction","0.0","0.0"
"LinearCombinationMatchingRule","spotify_14374","musicbrainz_20011","0.0",,"happy now","hammer high","happy now","hammer high","0.0","0.0","kygo,  sandro cavazza, zedd,  elley duhé","hammerfall","kygo,  sandro cavazza, zedd,  elley duhé","hammerfall","0.0","0.0"
"LinearCombinationMatchingRule","spotify_8901","musicbrainz_13492","0.0",,"me gustas mucho","meltdown upshot: 1. credo","me gustas mucho","meltdown upshot: 1. credo","0.0","0.0","banda ms de sergio lizárraga","deerhoof","banda ms de sergio lizárraga","deerhoof","0.0","0.0"
"LinearCombinationMatchingRule","spotify_3931","musicbrainz_26586","0.0",,"intro: boy meets evil","indecision (live)","intro: boy meets evil","indecision (live)","0.0","0.0","bts","martha and the muffins","bts","martha and the muffins","0.0","0.0"
"LinearCombinationMatchingRule","spotify_195","musicbrainz_896","0.0",,"let's do it again","letar oväder","let's do it again","letar oväder","0.0","0.0","j boog","bob hund","j boog","bob hund","0.0","0.0"
"LinearCombinationMatchingRule","spotify_16114","musicbrainz_26248","0.0",,"let the moonshine","let's be honest","let the moonshine","let's be honest","0.0","0.0","luke combs","mayday parade","luke combs","mayday parade","0.0","0.0"
"LinearCombinationMatchingRule","spotify_247","musicbrainz_19425","0.0",,"thursday","the granulating dark satanic mills","thursday","the granulating dark satanic mills","0.0","0.0","the weeknd","carcass","the weeknd","carcass","0.0","0.0"
"LinearCombinationMatchingRule","spotify_7580","musicbrainz_33645","0.0",,"isolation","i sat by the ocean","isolation","i sat by the ocean","0.0","0.0","alter bridge","queens of the stone age","alter bridge","queens of the stone age","0.0","0.0"
"LinearCombinationMatchingRule","spotify_15357","musicbrainz_10183","0.0",,"the ringer","this fight","the ringer","this fight","0.0","0.0","eminem","freeze the atlantic","eminem","freeze the atlantic","0.0","0.0"
"LinearCombinationMatchingRule","spotify_15944","musicbrainz_17346","0.0",,"sit down","silver bridge","sit down","silver bridge","0.0","0.0","kevin gates","suzanne vega","kevin gates","suzanne vega","0.0","0.0"
"LinearCombinationMatchingRule","spotify_5458","musicbrainz_33587","0.0",,"be thou my vision","beyond the flames","be thou my vision","beyond the flames","0.0","0.0","ascend the hill","killswitch engage","ascend the hill","killswitch engage","0.0","0.0"
"LinearCombinationMatchingRule","spotify_18742","musicbrainz_32033","0.0",,"the world is ugly","the girl i knew","the world is ugly","the girl i knew","0.0","0.0","my chemical romance","lawson","my chemical romance","lawson","0.0","0.0"
"LinearCombinationMatchingRule","spotify_4678","musicbrainz_27847","0.0",,"sophie","so is cardboard clouds","sophie","so is cardboard clouds","0.0","0.0","""bears den""","stereolab","""bears den""","stereolab","0.0","0.0"
"LinearCombinationMatchingRule","spotify_13396","musicbrainz_27010","0.0",,"someone you loved","so deep","someone you loved","so deep","0.0","0.0","lewis capaldi","alex clare","lewis capaldi","alex clare","0.0","0.0"
"LinearCombinationMatchingRule","spotify_2898","musicbrainz_27682","0.0",,"the first time","the troubles (alternate version)","the first time","the troubles (alternate version)","0.0","0.0","elliott trent","u2","elliott trent","u2","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1899","musicbrainz_31701","0.0",,"shooters","shangri‐la","shooters","shangri‐la","0.0","0.0","tory lanez","the kinks","tory lanez","the kinks","0.0","0.0"
"LinearCombinationMatchingRule","spotify_3498","musicbrainz_565","0.0",,"national anthem","natural one","national anthem","natural one","0.0","0.0","lana del rey","shearwater","lana del rey","shearwater","0.0","0.0"
"LinearCombinationMatchingRule","spotify_17123","musicbrainz_24929","0.0",,"night ride","night flight","night ride","night flight","0.0","0.0","the growlers","jeff buckley","the growlers","jeff buckley","0.0","0.0"
"LinearCombinationMatchingRule","spotify_14696","musicbrainz_10672","0.0",,"haggstrom","halfway there (live)","haggstrom","halfway there (live)","0.0","0.0","c418","soundgarden","c418","soundgarden","0.0","0.0"
"LinearCombinationMatchingRule","spotify_8203","musicbrainz_19374","0.0","0","makeba","machine","makeba","machine","0.0","0.0","jain","we are the ocean","jain","we are the ocean","0.0","0.0"
"LinearCombinationMatchingRule","spotify_20238","musicbrainz_14770","0.0",,"recordando a manuel","rece$$ion proof (demo)","recordando a manuel","rece$$ion proof (demo)","0.0","0.0","lenin ramírez,  gerardo ortiz,  jesús chairez","hollywood undead","lenin ramírez,  gerardo ortiz,  jesús chairez","hollywood undead","0.0","0.0"
"LinearCombinationMatchingRule","spotify_16629","musicbrainz_19963","0.0",,"thinking of you","the everchanging spectrum of a lie","thinking of you","the everchanging spectrum of a lie","0.0","0.0","lord echo","the joy formidable","lord echo","the joy formidable","0.0","0.0"
"LinearCombinationMatchingRule","spotify_18200","musicbrainz_10227","0.0","0","look at me now","lost creek","look at me now","lost creek","0.0","0.0","brennan savage","bad books","brennan savage","bad books","0.0","0.0"
"LinearCombinationMatchingRule","spotify_9635","musicbrainz_11989","0.0",,"back to december","badass rock ’n’ roll","back to december","badass rock ’n’ roll","0.0","0.0","taylor swift","anvil","taylor swift","anvil","0.0","0.0"
"LinearCombinationMatchingRule","spotify_17042","musicbrainz_20533","0.0",,"the kids aren't alright","this orient","the kids aren't alright","this orient","0.0","0.0","fall out boy","foals","fall out boy","foals","0.0","0.0"
"LinearCombinationMatchingRule","spotify_794","musicbrainz_14766","0.0",,"lookin","love you no more (demo)","lookin","love you no more (demo)","0.0","0.0","playboi carti,  lil uzi vert","hollywood undead","playboi carti,  lil uzi vert","hollywood undead","0.0","0.0"
"LinearCombinationMatchingRule","spotify_4738","musicbrainz_20879","0.0",,"the heart of dixie","this is the girl","the heart of dixie","this is the girl","0.0","0.0","danielle bradbery","patti smith","danielle bradbery","patti smith","0.0","0.0"
"LinearCombinationMatchingRule","spotify_972","musicbrainz_15741","0.0",,"that's us","the moon-atomic (…fragments and fictions)","that's us","the moon-atomic (…fragments and fictions)","0.0","0.0","anson seabra","angels & airwaves","anson seabra","angels & airwaves","0.0","0.0"
"LinearCombinationMatchingRule","spotify_19153","musicbrainz_26178","0.0",,"god.","going to hell (acoustic)","god.","going to hell (acoustic)","0.0","0.0","kendrick lamar","the pretty reckless","kendrick lamar","the pretty reckless","0.0","0.0"
"LinearCombinationMatchingRule","spotify_9236","musicbrainz_32427","0.0","0","deadcrush","deliquent (demo)","deadcrush","deliquent (demo)","0.0","0.0","alt-j","tad","alt-j","tad","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1081","musicbrainz_5114","0.0","0","comeback (feat. tory lanez and 30 roc)","cool it down (5.1 mix)","comeback (feat. tory lanez and 30 roc)","cool it down (5.1 mix)","0.0","0.0","jojo,  tory lanez,  30 roc","the velvet underground","jojo,  tory lanez,  30 roc","the velvet underground","0.0","0.0"
"LinearCombinationMatchingRule","spotify_20286","musicbrainz_20546","0.0","0","almost over you (feat. randy houser)","albatross","almost over you (feat. randy houser)","albatross","0.0","0.0","jessie james decker,  randy houser","foals","jessie james decker,  randy houser","foals","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1162","musicbrainz_25651","0.0","0","this woman and this man","the talking drum (kensington 1995)","this woman and this man","the talking drum (kensington 1995)","0.0","0.0","clay walker","king crimson","clay walker","king crimson","0.0","0.0"
"LinearCombinationMatchingRule","spotify_5197","musicbrainz_9719","0.0","0","beloved","be still (alternate version)","beloved","be still (alternate version)","0.0","0.0","mumford & sons","the killers","mumford & sons","the killers","0.0","0.0"
"LinearCombinationMatchingRule","spotify_17298","musicbrainz_8402","0.0","0","rotisserie","road","rotisserie","road","0.0","0.0","yung gravy,  bbno$","the house of love","yung gravy,  bbno$","the house of love","0.0","0.0"
"LinearCombinationMatchingRule","spotify_6413","musicbrainz_23617","0.0","0","nobody compares to you (feat. katie pearlman)","no return","nobody compares to you (feat. katie pearlman)","no return","0.0","0.0","gryffin,  katie pearlman","the kinks","gryffin,  katie pearlman","the kinks","0.0","0.0"
"LinearCombinationMatchingRule","spotify_1254","musicbrainz_14045","0.13333333333333333","0","jump into the fog","just like that","jump into the fog","just like that","0.0","0.0","the wombats","the connells","the wombats","the connells","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","spotify_3196","musicbrainz_4443","0.0","0","i don't sleep (ft. takeoff)","i defy","i don't sleep (ft. takeoff)","i defy","0.0","0.0","lil wayne,  takeoff","tonight alive","lil wayne,  takeoff","tonight alive","0.0","0.0"
